#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
15	دَرَكٌ		درك		اسم المصدر	الإدْرَاكِ		مذكر			مفرد								Tn	Rp								"دَرَكٌ-دَرَكٌ [د ر ك] (اِسْمُ مَصْدَرٍ مِنَ الإدْرَاكِ). 1. ""حَاوَلَ الدَّرَكَ بِهِ"" : اللَّحَاقَ بِهِ. 2. ""بَلَغَ الدَّرَكَ الأسْفَلَ"" : أسْفَلَ سَافِلِينَ، أقْصَى حَدٍّ. ""يَرَى بِأُمِّ عَيْنِهِ الدَّرَكَ الَّذِي انْحَدَرَتْ إلَيْهِ الأَخْلاَقُ"" ""بَلَغَ الغَوَّاصُ دَرَكَ البَحْرِ"". 3. ""اِسْتَدْعَاهُ رِجَالُ الدَّرَكِ"" : قُوَّاتُ الشُّرْطَةِ العَسْكَرِيَّةِ تُحَافِظُ عَلَى الأمْنِ العَامِّ، وَبِالأخَصِّ فِي الطُّرُقِ وَالبَوَادِي."
16	صَحْوَةٌ		صحو		اسم المرة	الصَّحْوِ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اِسْمُ الْمَرَّةِ مِنَ الصَّحْوِ). 1.""صَحْوَةُ النَّائِمِ"" : يَقَظَتُهُ. 2.""صَحْوَةُ النَّهارِ"": اِرْتِفاعُ النَّهارِ. ""يُعَانِقُ وَجْهَ الشَّمْسِ فِي صَحْوَةِ النَّهَارِ"" (م. ل. المنفلوطي). 3.""الصَّحْوَةُ الإِسْلاَمِيَّةُ"" : الوَثْبَةُ، اليَقَظَةُ."
17	غَلْطَةٌ		غلط		اسم المرة	الغَلَطِ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اِسْمُ الْمَرَّةِ مِنَ الغَلَطِ). 1.""اِرْتَكَبَ غَلْطَةً فَادِحَةً"" : خَطَأً. 2.""فِي النَّصِّ غَلْطَةٌ مَطْبَعِيَّةٌ"": تَصْحِيفٌ مُخَالِفٌ لِمَا فِي النَّصِّ "
18	بَتَّةٌ		بتة		اسم المرة	بَتٌّ		مؤنث			مفرد	+ات			DnN	Pf			Tn									"بَتَّةٌ-بَتَّةٌ، البَتَّة (اِسْمُ الْمَرَّةِ مِنْ: بَتٌّ).""الخَمْرُ لَنْ أشْرَبَهُ البَتَّةَ"" : قَطْعاً، نِهَائِيّاً، قَرَارٌ لاَ رِجْعَةَ فِيه. ""هَذَا عَمَلٌ لَنْ أَقومَ بِهِ البَتَّةَ""."
19	خَفْقَةٌ		خفق		اسم المرة	خَفَقَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اِسْمُ الْمَرَّةِ مِنْ خَفَقَ). ""تَوَالَتْ خَفَقَاتُ قَلْبِهِ"" : دَقَّاتُهُ الْمُتَسَارِعَةُ، نَبَضَاتُهُ."
20	دَوْرَةٌ		دور		اسم المرة	دارَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"دَوْرَةٌ-دَوْرَةٌ [د و ر] (اِسْمُ الْمَرَّةِ مِنْ دارَ). 1.""الدَّوْرَةٌ الدَّمَويَّةُ"" : جَرَيانُ الدَّمِ في حَرَكَتِهِ الدَّائِمَةِ في الجِسْمِ مِنَ الأَوْرِدَةِ إلى الشَّرَايِينِ وِمِنَ الشَّرايينِ إلى الأَوْرِدَةِ. 2.""دَوْرَةُ الحَياةِ"" : مُخْتَلِفُ الْمَراحِلِ الَّتِي يَمُرُّ بِها الكائِنُ الحَيُّ مِنْ إِنْتاجِهِ إلى إِعادَةِ إِنْتاجِهِ. 3.""دَوْرَةُ المِياهِ"" : المِرْحاضُ أَو"
21	رَوْحَةٌ		روح		اسم المرة	راحَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								(اِسْمُ الْمَرَّةِ مِنْ راحَ).
22	رَكْلَةٌ		ركل		اسم المرة	رَكَلَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اِسْمُ الْمَرَّةِ مِنْ رَكَلَ). ""قالَ الأَعْرابِيُّ : لأَرْكُلَنَّكَ رَكْلَةً لاَ تَأْكُلُ بَعْدَها أَكْلَةً"" : أَيْ لأَضْرِبَنَّكَ بِرِجْلِي ضَرْبَةً قاضِيَةً."
23	رَنَّةٌ		رنن		اسم المرة	رَنَّ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"رَنَّةٌ-رَنَّةٌ [ر ن ن ] (اِسْمُ الْمَرَّةِ مِنَ رَنَّ). 1.""رَنَّةُ القَّوْسِ"" : طَنينُها. 2.""في صَوْتِها رَنَّةٌ"" : صَوْتٌ فيهِ حُزْنٌ عِنْدَ الغِنَاءِ أَوِ البُكاءِ. 3.""سَمِعْتُ رَنَّتَها مِنْ بَعيدٍ"" : الصَّيْحَةُ ذاتُ الصَّوْتِ الْمُرْتَفِعِ."
24	كَيَّةٌ		كوي		اسم المرة	كَوَى		مؤنث			مفرد	+ات			DnN	Pf			Tn									"كَيَّةٌ-كَيَّةٌ [ك و ي] (اسْمُ الْمَرَّةِ مِنْ كَوَى). 1.""كَوَاهُ كَيَّةً وَاحِدَةً"" : حَرْقَة الجِلْدِ بِحَدِيدَةٍ مُحَمَّاةٍ. 2.""ما تَزَالُ الكَيَّةُ تُؤْلِمُهُ"" : مَوْضِعُ الكَيِّ عِنْدَمَا يُكْوَى الْمَرْءُ بِحَدِيدَةٍ مُحَمَّاةٍ."
25	نَجْوَةٌ		نجو		اسم المرة	نَجَا		مؤنث			مفرد	+ات;نِجَاءٌ			DnN	Pf			Tn	R								"(اِسْمُ الْمَرَّةِ مِنْ نَجَا). ""بِنَجْوَةٍ مِنْ كُلِّ شَرٍّ"" : بِمَنْجىً، فِي مَأْمَنٍ... بَعِيد عَنْ كُلِّ شَرٍّ."
26	نِجَاءٌ		نجو		اسم المرة	نَجَا		مؤنث			جمع		نَجْوَةٌ						Tn									
27	نَدْوَةٌ		ندو		اسم المرة	نَدَا		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"نَدْوَةٌ-نَدْوَةٌ [ن د و] (اسْمُ الْمَرَّةِ مِنْ نَدَا). 1.""نَدْوَةُ الْجَمَاعَةِ"" : اِجْتِمَاعُهُمْ. 2.""دَارُ النَّدْوَةِ"" : الدَّارُ الَّتِي يَجْتَمِعُ فِيهَا القَوْمُ. 3.""شَارَكَ فِي نَدْوَةٍ عِلْمِيَّةٍ"" : فِي لِقَاءٍ، فِي مُجْتَمَعٍ لِلْمُحَاوَرَةِ العِلْمِيَّةِ. ""نَدْوَةٌ ثَقَافِيَّةٌ"". 4.""نَدْوَةٌ دَوْلِيَّةٌ"" : مُؤْتَمَرٌ يَجْتَمِعُ فِيهِ نُخْبَةٌ مِنَ العُلَمَاءِ أَوِ الْخُبَرَاءِ. 5. ""نَدْوَةٌ صَحَفِيَّةٌ "" : لِقَاءٌ بَيْنَ صَحَفِيِّينَ وَشَخْصِيَّةٍ مَسْؤُولَةٍ لِلتَّحَدُّثِ وَالاسْتِفْسَارِ عَنْ مَوْضُوعٍ مَّا."
28	مَآبٌ		أوب		مصدر	آب		مذكر			مفرد	+ات;مَآوِبُ			DnN	Pf			Tn	R								"(مص. آب). 1.""مَآبُهُ إِلىَ الله"" : أَيْ تَوْبَتُهُ إِلَى اللهِ وَإِلَيْهِ مَرْجِعُهُ، مَكَانُ الرُّجُوعُ.ص آية 25 وَإِنَّ لَهُ عِنْدَنَا لَزُلْفَى وَحُسْنَ مَآبٍ (قرآن). 2.""بَيْنَهُمَا ثَلاَثَةُ مَآوِبَ"" : ثَلاَثُ رِحَلٍ فِي النَّهَارِ."
29	مَآوِبُ		أوب		مصدر	آب		مؤنث			جمع		مَآبٌ														Non	
30	أوْبٌ		أوب		مصدر	آبَ		مذكر			مفرد								Tn	R								"أوْبٌ-أوْبٌ [أ و ب] (مص. آبَ). 1.""جَاءوا مِنْ كُلِّ أوْبٍ وَصَوْبٍ"" : مِنْ كُلِّ جِهَةٍ، نَاحِيَةٍ، وَجْهِ. 2.""كَانَ أوْبُهُ مَيْمُوناً"": رُجُوعُهُ."
31	إيابٌ		أوب		مصدر	آبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إيابٌ-إيابٌ [أ و ب] (مص. آبَ). 1.""أخَذَ تَذْكِرَةً ذَهَاباً وإياباً"" : ذَهَاباً وَرُجوعاً. 2.""إلَى اللَّهِ الإيَابُ"" : إلَيْهِ التَّوْبَةُ وَالرُّجُوعُ."
32	إبَاتَةٌ		بيت		مصدر	أبَاتَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إبَاتَةٌ-إبَاتَةٌ [ب ي ت] (مص. أبَاتَ). ""إِبَاتَةُ الضَّيْفِ"" : جَعْلُهُ يَبِيتُ."
33	إبَاحَةٌ		بوح		مصدر	أبَاحَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								"إبَاحَةٌ-إبَاحَةٌ [ب و ح] (مص. أبَاحَ). ""إِبَاحَةُ مَا هُوَ مَحْظَورٌ"": إجَازتُهُ وَالسَّمَاحُ بِهِ."
34	إِبَادَةٌ		بيد		مصدر	أبَادَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إِبَادَةٌ-إِبَادَةٌ [ب ي د] (مص. أبَادَ). 1.""عَرَفَ التَّارِيخُ حُرُوبَ إبَادَةٍ"": أَيْ حُرُوبَ تَدْمِيرٍ وَفَتْكٍ. 2.""اُستُعْمِلَتْ مَوَادُّ سَامَّةٌ لإبَادَةِ الجَرَادِ الَّذِي ظَهَرَ فَجْأَةً"" : لِلقَضَاءِ عَلَيْهِ، لِسَحْقِهِ."
35	إِبَانَةٌ		بين		مصدر	أبَانَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إِبَانَةٌ-إِبَانَةٌ [ب ي ن] (مص. أبَانَ). ""اِلْتَزَمَ بِالإِبَانَةِ عَنْ آرائِهِ وَأفْكَارِهِ وَأَهْدَافِهِ"" : بِإِظْهَارِهَا وَالْكَشْفِ عَنْهَا، بإيضَاحِهَا وَتَوْضِيحِهَا."
36	أُبُوَّةٌ		أبو		مصدر	أبَا;يَأْبُو		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								"أُبُوَّةٌ-أُبُوَّةٌ [ أ ب و] (مص. أبَا، يَأْبُو). 1.""يَمْتَازُ بِأُبُوَّةٍ رَقِيقَةٍ"": صِفَةُ الأبِ. 2.""عُرِفَتْ تِلْكَ العَائِلَةُ بِأُبُوَّةٍ مِثَالِيَّةٍ"": الرَّابِطَةُ الطَّبِيعِيَّةُ أَوِ الشَّرْعِيَّةُ بَيْنَ الأبِ وَالأوْلاَدِ."
37	اِبْتِئَاسٌ		بأس		مصدر	اِبْتَأسَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِئَاسٌ-اِبْتِئَاسٌ [ب أ س] (مص. اِبْتَأسَ). ""وَجَدَهُ فِي اِبْتِئَاسٍ"": فِي حُزْنٍ وَغَمٍّ وَسُوءِ حالٍ."
38	اِبْتِيَاعٌ		بىع		مصدر	اِبْتَاعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِيَاعٌ-اِبْتِيَاعٌ [ب ى ع] (مص. اِبْتَاعَ). ""ذَهَبَ لِابْتِيَاعِ مَا يَحْتَاجُهُ مِنَ الْمَتْجَرِ"" : لِشِرَاءِ."
39	اِبْتِداءٌ		بدأ		مصدر	اِبتدَأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اِبْتِداءٌ-اِبْتِداءٌ [ب د أ] (مص. اِبتدَأ). ""اِبْتِدَاءُ العَمَلِ"" : بَدْؤُهُ والشُّرُوعُ فِيهِ."
40	اِبْتِداعٌ		بدع		مصدر	اِبْتَدَعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِداعٌ-اِبْتِداعٌ [ب د ع] (مص. اِبْتَدَعَ). ""اِبْتِدَاعُ أسَالِيبَ جَدِيدَةٍ"" : إِنْشَاؤُها عَلَى غَيْرِ مِثَالٍ سَابِقٍ. ""تَفَنَّنُوا فِي ابْتِدَاعِ أسَالِيبَ الوِقايَةِ مِنَ الغَارَاتِ"" (حنا مينه)."
41	اِبْتِذَالٌ		بذل		مصدر	اِبْتِذَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِذَالٌ-اِبْتِذَالٌ [ب ذ ل] (مص. اِبْتِذَلَ). ""عَرَّضَ نَفْسَهُ لِلابْتِذَالِ"" : لِعَدَمِ الحُرْمَةِ وَالاحْتِشَامِ، كَوْنُ الشَّيْءِ مُبْتَذَلاً."
42	اِبْتِزَازٌ		بزز		مصدر	اِبْتَزَّ		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اِبْتِزَازٌ-اِبْتِزَازٌ [ب ز ز] (مص. اِبْتَزَّ). ""إيَّاكَ "
43	اِبْتِسَامٌ		بسم		مصدر	اِبْتَسَمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِسَامٌ-اِبْتِسَامٌ [ب س م] (مص. اِبْتَسَمَ). ""كَانَ ابْتِسَامُهُ عَ"
44	اِبْتِعَادٌ		بعد		مصدر	اِبْتَعَدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِعَادٌ-اِبْتِعَادٌ [ب ع د] (مص. اِبْتَعَدَ). 1.""الاِبْتِعَادُ عَنِ الْمَكَارِهِ وَالْمَخَاطِرِ"" : عَدَمُ الاْقْتِرَابِ مِنْهَا. 2.""الاِبْتِعَادُ عَنِ الأَهْلِ"" : مُفَارَقَتُهُمْ. 3.""الاْبْتِعَادُ عَنِ الدَّارِ"" : البُعْدُ عَنْهَا."
45	اِبْتِغَاءٌ		بغي		مصدر	اِبْتَغى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اِبْتِغَاءٌ-اِبْتِغَاءٌ [ب غ ي] (مص. اِبْتَغى). ""اِبْتِغَاءُ الخَيْرِ"" : طَلَبُهُ وَالرَّغبَةُ فِيهِ."
46	اِبْتِكَارٌ		بكر		مصدر	اِبْتَكَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"(مص. اِبْتَكَرَ). 1.""أُعْلِنَ عَن ابْتِكَارٍ جَدِيدٍ"" : عَنِ اخْتِرَاعٍ، اِبْتِدَاعٍ. ""يَعُجُّ الْمَعْرِضُ الدَّوْلِيُّ بِابْتِكَا"
47	اِبْتِلاَعٌ		بلع		مصدر	اِبْتَلَعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								اِبْتِلاَعٌ-اِبْتِلاَعٌ [ب ل ع] (مص. اِبْت
48	اِبْتِلاَءٌ		بلي		مصدر	اِبْتَلَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اِبْتِلاَءٌ-اِبْتِلاَءٌ [ب ل ي ] (مص. اِبْتَلَى). ""اِبْتِلاَءُ الإنْسَانِ"" : اِخْتِبَارُهُ."
49	اِبْتِنَاءٌ		بني		مصدر	اِبْتَنَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								اِبْتِنَاءٌ-اِبْتِنَاءٌ [ب ن ي] (مص. اِبْتَنَى).
50	اِبْتِهَاجٌ		بهج		مصدر	اِبْتَهَجَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِهَاجٌ-اِبْتِهَاجٌ [ب هـ ج] (مص. اِبْتَهَجَ). ""عَمَّ الابْتِهَاجُ الحَفْلَ"" : الفَرَحُ، السُّرُورُ."
51	اِبْتِهَالٌ		بهل		مصدر	اِبْتَهَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اِبْتِهَالٌ-اِبْتِهَالٌ [ب هـ ل] (مص. اِبْتَهَلَ). ""وَقَفُوا فِي خُشُوعٍ وَابْتِهَالٍ"" : فِي تَضَرُّعٍ."
52	إبْحَارٌ		بحر		مصدر	أبْحَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبْحَارٌ-إبْحَارٌ [ب ح ر] (مص. أبْحَرَ). 1.""قَرَّرَ الإبْحَارَ"": رُكُوبَ البَحْرِ. 2.""إبْحَارُ السَّفِينَةِ"" : إقْلاَعُهَا بِدُخُولِهَا البَحْرَ."
53	تَأْبِيدٌ		أبد		مصدر	أَبَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَأْبِيدٌ-تَأْبِيدٌ [أ ب د] . (مص. أَبَّدَ). ""تَأْبِيدُ أَعْمالِ الإِنْسانِ"" : تَخْلِيدُها."
54	أبَدٌ		أبد		مصدر	أبِدَ		مذكر			مفرد	آبَادٌ			DnN				Tn	Rp								"ج: آبَادٌ. (مص. أبِدَ). 1.""سَيَبْقَى هَذَا الأثَرُ أبَدَ الآبِدِينَ"" : سَيَظَلُّ قَائِمًا أزَليّاً. ""أبَدَ الدَّهْرِ"" ""الدُّنيا أمَدٌ وَالآخِرَةُ أبَدٌ"". (أبو عبد الرحمان الخليل). 2.""سَأحْتَفِظُ بِذِكْرَاكَ إِلَى الأبَدِ"" : عَلَى الدَّوامِ، دَائِماً."
55	آبَادٌ		أبد		مصدر	أبِدَ		مؤنث			جمع		أبَدٌ						Tn									
56	إِبْدَاعٌ		بدع		مصدر	أبْدَعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"إِبْدَاعٌ-إِبْدَاعٌ [ب دع] (مص. أبْدَعَ). ""فَنٌّ فِيهِ إِبْدَاعٌ"" : الإتْيَانُ بِشَيءٍ لاَ نَظِيرَ لَهُ، فِيهِ جَوْدَةٌ وَإِتْقَانٌ، خَلْقٌ ."
57	إبدالٌ		بدل		مصدر	أبدل		مؤنث			جمع	+ات	إِبْدَاعٌ		DnN	Pf			Tn	R								
58	إبْداءٌ		بدو		مصدر	أبْدَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبْداءٌ-إبْداءٌ [ب د و] (مص. أبْدَى). 1.""إبْدَاءُ الشَّجَاعَةِ"" : إظْهَارُهَا. 2.""إبْدَاءُ الرَّأْيِ"" : التَّعْبِيرُ عَنْهُ."
59	إبْرَارٌ		برر		مصدر	أبَرَّ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبْرَارٌ-إبْرَارٌ [ب ر ر] (مص. أبَرَّ). 1.""الإبْرارُ إلَى بِلاَدِ الغَرْبِ"" : السَّفَرُ إِلَيْهَا عَنْ طَرِيقِ البَرِّ. 2."
60	إِبْرَاحٌ		برح		مصدر	أَبْرَحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إِبْرَاحٌ-إِبْرَاحٌ [ب رح] (مص. أَبْرَحَ). 1.""كَانَ الإبراحُ بِهِ انْتِقَامًا"" : الإلْحَاحُ عَلَيْهِ بِالأَذى وَالمشَقَّةِ. 2.""الإِبْرَاحُ عَنِ الْمَكَانِ"" : الاِنْزِيَاحُ عَنْهُ."
61	إِبْرَازٌ		برز		مصدر	أَبْرَزَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إِبْرَازٌ-إِبْرَازٌ [ب ر ز] (مص. أَبْرَزَ). ""طَلَبَ مِنْهُ إِبْرَازَ مَا يُخَبِّئُ"" : أ"
62	إِبْرَاقٌ		برق		مصدر	أَبْرَقَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إِبْرَاقٌ-إِبْرَاقٌ [ب رق] (مص. أَبْرَقَ). 1.""إِبْرَاقُ السَّمَاءِ"": إتْيَانُهَا ب"
63	إبْرَامٌ		برم		مصدر	أَبْرَمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبْرَامٌ-إبْرَامٌ [ب ر م] (مص. أَبْرَمَ). 1.""إِبْرَامُ الحَبْلِ"" : فَتْلُهُ، أَيْ جَعْلُهُ طَاقَيْنِ. 2.""اِتَّفَقُوا عَلَى إِبْرَامِ اِتِّفَاقِيَّةٍ جَدِيدَةٍ"" : عَقْدُهَا، إِحْكَامُهَا."
64	إبْصَارٌ		بصر		مصدر	أبْصَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبْصَارٌ-إبْصَارٌ [ب ص ر] (مص. أبْصَرَ). ""قُوَّةُ الإبْصَارِ"" : قُوَّةُ النَّظَرِ، الرُّؤْيَةِ."
65	إبْطَاءٌ		بطأ		مصدر	أَبْطَأَ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبْطَاءٌ-إبْطَاءٌ [ب ط أ] (مص. أَبْطَأَ). 1.""كَانَتِ القَافِلَةُ تَسِيرُ فِي إِبْطَاءٍ شَدِيدٍ"" : تَسِيرُ عَلَى مَ"
66	إِبْطَالٌ		بطل		مصدر	أَبْطَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إِبْطَالٌ-إِبْطَالٌ [ب ط ل] (مص. أَبْطَلَ). ""إبْطَالُ الحُكْمِ السَّابِقِ"" : إِلْغَاؤُهُ، أَيْ جَعْلُهُ غَيْرَ نَافِذٍ لاَ مَفْعُولَ لَهُ."
67	إبْعَادٌ		بعد		مصدر	أبْعَدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبْعَادٌ-إبْعَادٌ [ب ع د] (مص. أبْعَدَ). 1.""تَقَرَّرَ إِبْعَادُهُ عَنِ ا"
68	إبْغَاضٌ		بغض		مصدر	أبْغَضَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								إبْغَاضٌ-إبْغَاضٌ [ب غ ض] (مص. أبْغَضَ).
69	إِبْغَاءٌ		بغي		مصدر	أَبْغَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إِبْغَاءٌ-إِبْغَاءٌ [ب غ ي] (مص. أَبْغَى). 1.""إِبْغَاءُ الشَّي"
70	إِبْقَاءٌ		بقي		مصدر	أَبْقَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إِبْقَاءٌ-إِبْقَاءٌ [ب ق ي] (مص. أَبْقَى). ""قَرَّرَ إِبْقَاءهُ فِي مَنْصِبهِ"" : إِ"
71	إِبْكَارٌ		بكر		مصدر	أَبْكَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إِبْكَارٌ-إِبْكَارٌ [ب ك ر] (مص. أَبْكَرَ). ""ألِفَ الإِبْكَارَ إِلَى العَمَل"
72	إِبْكاءٌ		بكي		مصدر	أَبْكَى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إِبْكاءٌ-إِبْكاءٌ [ب ك ي] (مص. أَبْكَى). ""لَمْ يَكُنْ إِبْكَاؤُه"
