n°	unvoc	vocal	cat	freq	haraka
868	صِناعِيّ	صناعي	adj	171814	َ
869	قائِل	قائل	adj	171659	َ
874	عِلْمِيّ	علمي	adj	170863	َ
890	إِيرانِيّ	إيراني	adj	167912	َ
891	مُسْتَمِرّ	مستمر	adj	167835	َ
906	رِياضِيّ	رياضي	adj	165391	َ
911	شَدِيد	شديد	adj	164479	َ
916	قادِر	قادر	adj	163059	َ
925	دُسْتُورِيّ	دستوري	adj	161739	َ
933	أَساسِيّ	أساسي	adj	160383	َ
937	مُحْتَلّ	محتل	adj	159880	َ
939	تَمام	تمام	adj	159836	َ
940	بالِغ	بالغ	adj	159310	َ
950	مُتَوَسِّط	متوسط	adj	158503	َ
952	سَرِيع	سريع	adj	158352	َ
954	صِرْبِيّ	صربي	adj	158070	َ
962	صِحِّيّ	صحي	adj	156910	َ
964	شَرْعِيّ	شرعي	adj	156715	َ
977	كُوَيْتِيّ	كويتي	adj	155549	َ
1002	طِبِّيّ	طبي	adj	152396	َ
1005	نِيابِيّ	نيابي	adj	152209	َ
1015	يابانِيّ	ياباني	adj	150545	َ
1024	مُتَعَلِّق	متعلق	adj	149378	َ
1042	مَغْرِبِيّ	مغربي	adj	145930	َ
1044	مَعْنِيّ	معني	adj	145909	َ
1065	دَوْلِيّ	دولي	adj	143898	َ
1068	مُحَدَّد	محدد	adj	143644	َ
1070	خَطِير	خطير	adj	143494	َ
1089	تُونِسِيّ	تونسي	adj	140881	َ
1097	مَسْؤُول	مسؤول	adj	139679	َ
1099	ثُنائِيّ	ثنائي	adj	139611	َ
1111	مُحِيط	محيط	adj	138442	َ
1122	لاحِق	لاحق	adj	137551	َ
1138	كُرْدِيّ	كردي	adj	135654	َ
1144	صَهْيُونِيّ	صهيوني	adj	134943	َ
1152	يَمَنِيّ	يمني	adj	134152	َ
1159	لازِم	لازم	adj	133580	َ
1161	هِنْدِيّ	هندي	adj	133564	َ
1165	قَصِير	قصير	adj	133113	َ
1170	قَضائِيّ	قضائي	adj	131730	َ
1177	تَنْفِيذِيّ	تنفيذي	adj	130028	َ
1183	ذاتِيّ	ذاتي	adj	129190	َ
1184	مُجَدَّد	مجدد	adj	129165	َ
1185	أَجْنَبِيّ	أجنبي	adj	128919	َ
1188	طائِفِيّ	طائفي	adj	128789	َ
1189	شِيعِيّ	شيعي	adj	128512	َ
1194	عاجِل	عاجل	adj	127881	َ
1200	سِلْمِيّ	سلمي	adj	127523	َ
1201	جَرِيح	جريح	adj	127433	َ
1206	ضَرُورِيّ	ضروري	adj	126941	َ
1212	مَفْتُوح	مفتوح	adj	126043	َ
1246	لِيبِيّ	ليبي	adj	121551	َ
1252	خَلِيجِيّ	خليجي	adj	120522	َ
1267	واقِع	واقع	adj	118455	َ
1268	طَيِّب	طيب	adj	118320	َ
1269	تَشْرِيعِيّ	تشريعي	adj	118314	َ
1273	زِراعِيّ	زراعي	adj	117290	َ
1282	نَفْطِيّ	نفطي	adj	116318	َ
1289	أَبْيَض	أبيض	adj	115157	َ
1295	مُتَعَدِّد	متعدد	adj	114686	َ
1311	سَلْبِيّ	سلبي	adj	113489	َ
1315	ذَهَبِيّ	ذهبي	adj	112797	َ
1320	حامِل	حامل	adj	111867	َ
1324	مُعَيَّن	معين	adj	111365	َ
1331	بَرْلَمانِيّ	برلماني	adj	110790	َ
1332	عامِل	عامل	adj	110701	َ
1341	مُناسِب	مناسب	adj	109814	َ
1344	مُسْتَعِدّ	مستعد	adj	109552	َ
1347	بَشَرِيّ	بشري	adj	109327	َ
1351	قَطَرِيّ	قطري	adj	109216	َ
1376	مَجْمُوع	مجموع	adj	107122	َ
1378	مُعْتَبِر	معتبر	adj	106971	َ
1389	راهِن	راهن	adj	105775	َ
1393	تَقْلِيدِيّ	تقليدي	adj	105562	َ
1394	عادِل	عادل	adj	105523	َ
1399	سِياحِيّ	سياحي	adj	104967	َ
1406	مُوَحَّد	موحد	adj	104486	َ
1408	أُرْدُنِّيّ	أردني	adj	104294	َ
1411	آتِي	آتي	adj	104170	َ
1415	اِشْتِراكِيّ	اشتراكي	adj	103561	َ
1418	دَقِيق	دقيق	adj	103348	َ
1423	اِنْتِحارِيّ	انتحاري	adj	102355	َ
1424	مُصَنَّف	مصنف	adj	102065	َ
1426	بَحْرِيّ	بحري	adj	101933	َ
1450	كافِي	كافي	adj	99691	َ
1457	بَلَدِيّ	بلدي	adj	99149	َ
1458	مُعارِض	معارض	adj	99123	َ
1507	مارُونِيّ	ماروني	adj	94007	َ
1510	عادِيّ	عادي	adj	93633	َ
1511	مُبَكِّر	مبكر	adj	93621	َ
1517	مُجاوِر	مجاور	adj	93064	َ
1525	مُوَضِّح	موضح	adj	91969	َ
1528	أَلْمانِيّ	ألماني	adj	91809	َ
1530	سِرِّيّ	سري	adj	91651	َ
1533	شُيُوعِيّ	شيوعي	adj	91533	َ
1550	مُرْتَبِط	مرتبط	adj	89842	َ
1558	مُكَلَّف	مكلف	adj	89379	َ
1565	جِدِّيّ	جدي	adj	88455	َ
1574	مَحْدُود	محدود	adj	87878	َ
1583	سُوفْيِتِيّ	سوفيتي	adj	87168	َ
1588	عَمَلِيّ	عملي	adj	86677	َ
1594	لافِت	لافت	adj	86613	َ
1595	مُماثِل	مماثل	adj	86572	َ
1596	كَرِيم	كريم	adj	86508	َ
1599	هاتِفِيّ	هاتفي	adj	86243	َ
1602	جَماعِيّ	جماعي	adj	86039	َ
1604	أَحْمَر	أحمر	adj	85999	َ
1613	وِزارِيّ	وزاري	adj	85371	َ
1615	مُطْلَق	مطلق	adj	85306	َ
1623	كُورِيّ	كوري	adj	84945	َ
1635	أَفْرِيقِيّ	أفريقي	adj	84090	َ
1640	مادِّيّ	مادي	adj	83436	َ
1645	ثابِت	ثابت	adj	83201	َ
1646	فِكْرِيّ	فكري	adj	83150	َ
1647	إِنْسانِيّ	إنساني	adj	83118	َ
1650	تَقْنِيّ	تقني	adj	82953	َ
1651	مُتَقَدِّم	متقدم	adj	82952	َ
1659	إِرْهابِيّ	إرهابي	adj	82603	َ
1662	مَجْهُول	مجهول	adj	82422	َ
1669	ضَخْم	ضخم	adj	82139	َ
1673	مَصْرَفِيّ	مصرفي	adj	82009	َ
1678	بارِز	بارز	adj	81747	َ
1683	سَهْل	سهل	adj	81255	َ
1685	مُتَخَصِّص	متخصص	adj	81056	َ
1698	مُقَدَّس	مقدس	adj	80439	َ
1704	فِعْلِيّ	فعلي	adj	80192	َ
1705	غِذائِيّ	غذائي	adj	80158	َ
1713	مُوَجَّه	موجه	adj	79662	َ
1714	فِيدِرالِيّ	فيدرالي	adj	79637	َ
1733	مُؤَيِّد	مؤيد	adj	78446	َ
1738	حاضِر	حاضر	adj	78267	َ
1740	يُونانِيّ	يوناني	adj	78170	َ
1755	أَفْغانِيّ	أفغاني	adj	77709	َ
1762	مُؤَخَّر	مؤخر	adj	77286	َ
1765	عَمِيق	عميق	adj	77257	َ
1780	هُولانْدِيّ	هولاندي	adj	76336	َ
1783	إِقْلِيمِيّ	إقليمي	adj	76245	َ
1785	حاسِم	حاسم	adj	76007	َ
1790	قِياسِيّ	قياسي	adj	75763	َ
1798	إِعْلامِيّ	إعلامي	adj	75304	َ
1813	مَرِيض	مريض	adj	74666	َ
1845	اِنْتِقالِيّ	انتقالي	adj	73285	َ
1853	مُخَصَّص	مخصص	adj	73034	َ
1856	جامِعِيّ	جامعي	adj	72811	َ
1858	تِلْفِزيُونِيّ	تلفزيوني	adj	72696	َ
1870	بَرِّيّ	بري	adj	71878	َ
1874	حادّ	حاد	adj	71812	َ
1875	حُدُودِيّ	حدودي	adj	71638	َ
1885	تامّ	تام	adj	71197	َ
1889	نَقْدِيّ	نقدي	adj	71139	َ
1894	مَفْرُوض	مفروض	adj	70876	َ
1900	نَفْسِيّ	نفسي	adj	70652	َ
1908	مُتَشَدِّد	متشدد	adj	70283	َ
1909	شَرِيف	شريف	adj	70205	َ
1916	غالِب	غالب	adj	69985	َ
1919	عَنِيف	عنيف	adj	69875	َ
1929	فاعِل	فاعل	adj	69108	َ
1935	راحِل	راحل	adj	68845	َ
1936	داعِي	داعي	adj	68768	َ
1944	مَذْكُور	مذكور	adj	68407	َ
1952	مَقْبُول	مقبول	adj	68128	َ
1965	بَسِيط	بسيط	adj	67728	َ
1976	بارِد	بارد	adj	67388	َ
1980	مُقَدَّم	مقدم	adj	66961	َ
1981	مُخَطَّط	مخطط	adj	66942	َ
1982	فَرْدِيّ	فردي	adj	66783	َ
1995	مُقِيم	مقيم	adj	65994	َ
1998	هامّ	هام	adj	65895	َ
2006	وارِد	وارد	adj	65508	َ
2010	سُوِيسْرِيّ	سويسري	adj	65320	َ
2018	مُنَظَّم	منظم	adj	65052	َ
2022	صُومالِيّ	صومالي	adj	64928	َ
2023	مَطْرُوح	مطروح	adj	64800	َ
2026	أَهْلِيّ	أهلي	adj	64707	َ
2031	ذَرِّيّ	ذري	adj	64329	َ
2033	مِهْنِيّ	مهني	adj	64218	َ
2036	كُرْدِسْتانِيّ	كردستاني	adj	63880	َ
2039	غَرِيب	غريب	adj	63794	َ
2056	ثانَوِيّ	ثانوي	adj	63229	َ
2057	كَنَدِيّ	كندي	adj	63184	َ
2063	مُتَبادَل	متبادل	adj	63023	َ
2070	حَرْبِيّ	حربي	adj	62898	َ
2072	هائِل	هائل	adj	62864	َ
2074	حَيَوِيّ	حيوي	adj	62692	َ
2076	جادّ	جاد	adj	62681	َ
2078	زَمَنِيّ	زمني	adj	62614	َ
2081	رَفِيع	رفيع	adj	62568	َ
2085	مُحْتَرِف	محترف	adj	62272	َ
2086	مَشْرُوع	مشروع	adj	62266	َ
2090	جَمِيل	جميل	adj	62230	َ
2091	صُحُفِيّ	صحفي	adj	62226	َ
2094	قابِل	قابل	adj	62033	َ
2095	تشِيكِيّ	تشيكي	adj	62027	َ
2098	أَسْوَد	أسود	adj	61928	َ
2106	حِزْبِيّ	حزبي	adj	61506	َ
2110	تَرْبَوِيّ	تربوي	adj	61135	َ
2113	نِسْبِيّ	نسبي	adj	61013	َ
2116	عَظِيم	عظيم	adj	60819	َ
2121	نادِر	نادر	adj	60613	َ
2125	ضَعِيف	ضعيف	adj	60220	َ
2135	مُسْبَق	مسبق	adj	59717	َ
2144	كَهْرَبائِيّ	كهربائي	adj	59399	َ
2150	اِسْتِثْنائِيّ	استثنائي	adj	59130	َ
2152	أَسِيَوِيّ	أسيوي	adj	59001	َ
2153	تَحْتِيّ	تحتي	adj	58996	َ
2158	مَيْدانِيّ	ميداني	adj	58874	َ
2167	خام	خام	adj	58541	َ
2179	فَوْرِيّ	فوري	adj	58151	َ
2180	عائِد	عائد	adj	58069	َ
2188	فاصِل	فاصل	adj	57581	َ
2189	مُثِير	مثير	adj	57533	َ
2202	سَيِّء	سيء	adj	57183	َ
2206	مُؤَقَّت	مؤقت	adj	57055	َ
2208	مَرْحُوم	مرحوم	adj	57005	َ
2212	مُفَخَّخ	مفخخ	adj	56937	َ
2215	مُرْتَفِع	مرتفع	adj	56706	َ
2244	حَضارِيّ	حضاري	adj	55523	َ
2247	فَضائِيّ	فضائي	adj	55449	َ
2262	مُضادّ	مضاد	adj	55152	َ
2264	مُعْطَى	معطى	adj	55082	َ
2266	مُسَجَّل	مسجل	adj	55061	َ
2267	بِيئِيّ	بيئي	adj	54832	َ
2270	مُوالِي	موالي	adj	54719	َ
2275	شَهِير	شهير	adj	54553	َ
2276	مَبِيع	مبيع	adj	54549	َ
2279	مُوَقَّت	موقت	adj	54473	َ
2285	مُتَواصِل	متواصل	adj	54246	َ
2286	اِنْفِصالِيّ	انفصالي	adj	54246	َ
2289	مُعاصِر	معاصر	adj	54073	َ
2292	مُخْتَصّ	مختص	adj	54004	َ
2293	مُتَزايِد	متزايد	adj	53990	َ
2303	كاثُولِيكِيّ	كاثوليكي	adj	53672	َ
2304	جِنْسِيّ	جنسي	adj	53618	َ
2310	كِيمِيائِيّ	كيميائي	adj	53424	َ
2313	عِلْمانِيّ	علماني	adj	53252	َ
2314	وُدِّيّ	ودي	adj	53199	َ
2320	عِبْرِيّ	عبري	adj	52828	َ
2321	مُمَيَّز	مميز	adj	52826	َ
2325	رُباعِيّ	رباعي	adj	52690	َ
2331	عُمُومِيّ	عمومي	adj	52310	َ
2340	أَخْضَر	أخضر	adj	52119	َ
2341	شِيشانِيّ	شيشاني	adj	52083	َ
2343	مُسْتَهْلِك	مستهلك	adj	52049	َ
2344	دَوْرِيّ	دوري	adj	51995	َ
2345	تَعْلِيمِيّ	تعليمي	adj	51955	َ
2348	مُعْلَن	معلن	adj	51802	َ
2351	عَرِيق	عريق	adj	51786	َ
2361	أَقْصَى	أقصى	adj	51584	َ
2365	مَلَكِيّ	ملكي	adj	51281	َ
2395	ناسِف	ناسف	adj	50607	َ
2404	مُشْتَبَه	مشتبه	adj	50273	َ
2405	جاهِز	جاهز	adj	50259	َ
2408	مُناهِض	مناهض	adj	50173	َ
2411	بِلْجِيكِيّ	بلجيكي	adj	50120	َ
2414	جُزْئِيّ	جزئي	adj	50065	َ
2420	ثَقِيل	ثقيل	adj	49769	َ
2421	مُسْتَقْبَلِيّ	مستقبلي	adj	49755	َ
2425	عُنْصُرِيّ	عنصري	adj	49707	َ
2428	اِسْتِثْمارِيّ	استثماري	adj	49636	َ
2437	واقِعِيّ	واقعي	adj	49307	َ
2438	مُشَدِّد	مشدد	adj	49300	َ
2439	سَكَنِيّ	سكني	adj	49157	َ
2441	ناجِح	ناجح	adj	49117	َ
2442	سَلِيم	سليم	adj	49051	َ
2443	جِنائِيّ	جنائي	adj	49003	َ
2444	سائِد	سائد	adj	48991	َ
2448	إِيجابِيّ	إيجابي	adj	48931	َ
2464	مُرَبَّع	مربع	adj	48549	َ
2474	جُغْرافِيّ	جغرافي	adj	48347	َ
2478	جامِع	جامع	adj	48234	َ
2479	مُعادِي	معادي	adj	48193	َ
2493	مُفْتَرَض	مفترض	adj	47884	َ
2509	غَنِيّ	غني	adj	47620	َ
2511	عَقارِيّ	عقاري	adj	47594	َ
2519	رُوحِيّ	روحي	adj	47381	َ
2521	مُفِيد	مفيد	adj	47307	َ
2535	أَعْظَم	أعظم	adj	46985	َ
2540	سِينَمائِيّ	سينمائي	adj	46874	َ
2559	مُوَقَّع	موقع	adj	46568	َ
2561	مَوْقُوف	موقوف	adj	46532	َ
2568	مُنَفِّذ	منفذ	adj	46270	َ
2574	رائِع	رائع	adj	46060	َ
2577	عُمّالِيّ	عمالي	adj	46033	َ
2582	طارِئ	طارئ	adj	45875	َ
2583	مُكَثَّف	مكثف	adj	45836	َ
2588	نامِي	نامي	adj	45709	َ
2589	دِفاعِيّ	دفاعي	adj	45707	َ
2592	ناجِم	ناجم	adj	45654	َ
2594	مُغْلَق	مغلق	adj	45603	َ
2598	مُمْتاز	ممتاز	adj	45372	َ
2604	لِيبِرالِيّ	ليبرالي	adj	45206	َ
2612	قاسِي	قاسي	adj	44961	َ
2616	ثَوْرِيّ	ثوري	adj	44860	َ
2617	اِتِّحادِيّ	اتحادي	adj	44860	َ
2630	سُنِّيّ	سني	adj	44547	َ
2634	مُؤَهَّل	مؤهل	adj	44471	َ
2638	شِعْرِيّ	شعري	adj	44374	َ
2657	بَحْرَيْنِيّ	بحريني	adj	43612	َ
2676	فَعّال	فعال	adj	43209	َ
2679	سُوِيدِيّ	سويدي	adj	43152	َ
2682	شَهْرِيّ	شهري	adj	43140	َ
2687	سائِر	سائر	adj	43093	َ
2691	بُوسْنِيّ	بوسني	adj	43020	َ
2697	راعِي	راعي	adj	42852	َ
2698	نارِيّ	ناري	adj	42848	َ
2706	مَلْمُوس	ملموس	adj	42668	َ
2713	ثُلاثِيّ	ثلاثي	adj	42501	َ
2716	مُسَلَّح	مسلح	adj	42441	َ
2720	رافِض	رافض	adj	42310	َ
2721	مُقَرَّب	مقرب	adj	42309	َ
2722	مُؤَلَّف	مؤلف	adj	42297	َ
2730	مائِيّ	مائي	adj	42125	َ
2737	خاطِف	خاطف	adj	41929	َ
2740	مُتَأَخِّر	متأخر	adj	41855	َ
2742	مُتاح	متاح	adj	41826	َ
2749	مُنْتَظَر	منتظر	adj	41753	َ
2750	مُتَصَدِّر	متصدر	adj	41725	َ
2763	جَوْهَرِيّ	جوهري	adj	41479	َ
2764	صارُوخِيّ	صاروخي	adj	41477	َ
2778	مُعْتَدِل	معتدل	adj	41160	َ
2785	مَذْهَبِيّ	مذهبي	adj	40914	َ
2786	صَرِيح	صريح	adj	40892	َ
2789	مُرّ	مر	adj	40860	َ
2796	مُتَنَوِّع	متنوع	adj	40815	َ
2798	مُصَدِّر	مصدر	adj	40751	َ
2804	مُوَسَّع	موسع	adj	40570	َ
2810	مُتَكامِل	متكامل	adj	40462	َ
2812	رُومانِيّ	روماني	adj	40380	َ
2814	خَطِر	خطر	adj	40351	َ
2815	مُجاهِد	مجاهد	adj	40297	َ
2817	مُفاجِئ	مفاجئ	adj	40237	َ
2821	مُنْتَشِر	منتشر	adj	40181	َ
2824	مَبْدَئِيّ	مبدئي	adj	40134	َ
2826	خَيْرِيّ	خيري	adj	40131	َ
2830	مُتَطَوِّر	متطور	adj	40101	َ
2832	بُرْتُغالِيّ	برتغالي	adj	40015	َ
2837	مُسْتَحِيل	مستحيل	adj	39860	َ
2838	إِسْتراتِيجِيّ	إستراتيجي	adj	39852	َ
2839	حاصِل	حاصل	adj	39815	َ
2849	وَثِيق	وثيق	adj	39623	َ
2862	خَفِيف	خفيف	adj	39205	َ
2864	إِدارِيّ	إداري	adj	39162	َ
2868	خاضِع	خاضع	adj	39001	َ
2869	مُلائِم	ملائم	adj	38950	َ
2873	مُفَوَّض	مفوض	adj	38764	َ
2875	جُمْرُكِيّ	جمركي	adj	38641	َ
2878	عِرْقِيّ	عرقي	adj	38613	َ
2895	نِقابِيّ	نقابي	adj	38267	َ
2896	عَرِيض	عريض	adj	38255	َ
2899	ساحِلِيّ	ساحلي	adj	38224	َ
2904	مُؤَثِّر	مؤثر	adj	38115	َ
2907	مَحْظُور	محظور	adj	38045	َ
2918	مُتَمَيِّز	متميز	adj	37821	َ
2927	نَمْساوِيّ	نمساوي	adj	37687	َ
2936	مَلْحُوظ	ملحوظ	adj	37481	َ
2941	بَدِيل	بديل	adj	37325	َ
2943	عَلَنِيّ	علني	adj	37144	َ
2944	نَظِيف	نظيف	adj	37142	َ
2947	يَمِينِيّ	يميني	adj	37109	َ
2949	لاتِينِيّ	لاتيني	adj	37064	َ
2950	مُخْتَلَف	مختلف	adj	37061	َ
2955	تِكْنُولُوجِيّ	تكنولوجي	adj	36987	َ
2956	مُهْتَمّ	مهتم	adj	36983	َ
2957	إِجْمالِيّ	إجمالي	adj	36979	َ
2966	عِمْلاق	عملاق	adj	36886	َ
2968	سَعِيد	سعيد	adj	36874	َ
2987	فَرِيد	فريد	adj	36666	َ
2990	خالِي	خالي	adj	36559	َ
3007	مُنْفَصِل	منفصل	adj	36337	َ
3012	طَفِيف	طفيف	adj	36282	َ
3014	حَسّاس	حساس	adj	36266	َ
3016	صادِق	صادق	adj	36218	َ
3017	ماشِي	ماشي	adj	36191	َ
3018	مُهَدَّد	مهدد	adj	36191	َ
3029	مُقاوِم	مقاوم	adj	36056	َ
3032	كَثِيف	كثيف	adj	35934	َ
3034	إِيطالِيّ	إيطالي	adj	35864	َ
3038	مانِح	مانح	adj	35741	َ
3041	دائِر	دائر	adj	35655	َ
3048	أُولِمْبِيّ	أولمبي	adj	35525	َ
3053	بَرِيء	بريء	adj	35455	َ
3060	مُصَوِّر	مصور	adj	35356	َ
3061	قُبْرُصِيّ	قبرصي	adj	35355	َ
3062	شائِع	شائع	adj	35351	َ
3069	خاطِئ	خاطئ	adj	35270	َ
3073	مُتَكَرِّر	متكرر	adj	35242	َ
3075	مُسْتَقِرّ	مستقر	adj	35217	َ
3078	مُتَّصِل	متصل	adj	35179	َ
3084	مُلْتَزِم	ملتزم	adj	35086	َ
3088	مَوْضُوعِيّ	موضوعي	adj	35008	َ
3103	عُمانِيّ	عماني	adj	34850	َ
3115	حَسَن	حسن	adj	34642	َ
3117	ناتِج	ناتج	adj	34621	َ
3121	هادِئ	هادئ	adj	34582	َ
3127	مُرْتَقَب	مرتقب	adj	34490	َ
3133	نَوْعِيّ	نوعي	adj	34370	َ
3138	يَسارِيّ	يساري	adj	34301	َ
3144	قَبَلِيّ	قبلي	adj	34188	َ
3150	مُتَمَثِّل	متمثل	adj	34042	َ
3158	مُوسِيقِيّ	موسيقي	adj	33868	َ
3169	نَظَرِيّ	نظري	adj	33708	َ
3172	مُحْتَجَز	محتجز	adj	33688	َ
3183	طائِر	طائر	adj	33511	َ
3184	مُعَقَّد	معقد	adj	33503	َ
3186	دَمَوِيّ	دموي	adj	33493	َ
3190	هَنِيّ	هني	adj	33419	َ
3192	مُتَوَجِّه	متوجه	adj	33402	َ
3200	يُوغُوسْلافِيّ	يوغوسلافي	adj	33312	َ
3203	مُسَجِّل	مسجل	adj	33291	َ
3204	عالِق	عالق	adj	33222	َ
3207	مُلِحّ	ملح	adj	33158	َ
3214	مَوْضُوع	موضوع	adj	33043	َ
3219	طالِب	طالب	adj	32963	َ
3221	دِراسِيّ	دراسي	adj	32929	َ
3235	عُثْمانِيّ	عثماني	adj	32640	َ
3243	مُوفَد	موفد	adj	32578	َ
3246	مُدَمِّر	مدمر	adj	32536	َ
3253	آمِن	آمن	adj	32412	َ
3254	راغِب	راغب	adj	32408	َ
3257	مُتَتالِي	متتالي	adj	32391	َ
3264	مَعْقُول	معقول	adj	32266	َ
3278	جِذْرِيّ	جذري	adj	31952	َ
3288	تَدْرِيجِيّ	تدريجي	adj	31837	َ
3289	إِضافِيّ	إضافي	adj	31833	َ
3292	مَدْعُوم	مدعوم	adj	31772	َ
3293	قَلِق	قلق	adj	31757	َ
3312	مُشْرِف	مشرف	adj	31512	َ
3326	مُزْدَوِج	مزدوج	adj	31195	َ
